,Price,Brand,Screen Size,CPU type,Memory,Storage,GPU,Resolution,Backlit Keyboard,Touchscreen,Graphic Type,Operating System,Webcam,Card Reader,Thunderbolt,title,link,ppi,CPU_series,GPU_brand
265,430.99,hp,14.0,Intel Core i5 8th Gen,16,512,Intel UHD Graphics,1920x1080,0,0,Integrated,Windows 11 Pro,Yes,0,0,"hp 840 g6 14.0"" grade a laptop intel core i5 8th gen 8365u (1.60ghz) 16gb memory",https://www.newegg.com/hp-elitebook-840-g6-work-business/p/N82E16834273968?Item=N82E16834273968,157.3505121487356,Intel Core i5,Intel
266,1219.99,lg,17.0,Intel Core i7 12th Gen,16,1024,Intel Iris Xe,2560x1600,1,0,Integrated,Windows 11 Pro,Yes,1,0,"lg gram 17z90q-n.apb7u1 17.0"" laptop intel core i7 12th gen 1260p (2.10ghz) 16gb memory",https://www.newegg.com/obsidian-black-lg-17z90q-n-apb7u1-home-personal/p/N82E16834325103?Item=N82E16834325103,177.58082130930077,Intel Core i7,Intel
267,2166.99,hp,14.0,Intel Core i5 12th Gen,16,512,Intel Iris Xe,1920x1200,1,0,Integrated,Windows 11 Pro,Yes,0,1,"hp 6e5d0ut#aba 14.0"" laptop intel core i5 12th gen 1245u (1.60ghz) 16gb memory",https://www.newegg.com/hp-elitebook-1040-g9-6e5d0ut-aba-work-business/p/N82E16834273691?Item=N82E16834273691,161.72539083525606,Intel Core i5,Intel
269,1339.99,microsoft,13.5,Intel Core i5 13th Gen,16,512,Intel Iris Xe,2256x1504,0,1,Integrated,Windows 11 Pro,No,0,1,"microsoft surface laptop 5 - 13.5"" pixelsense display - intel core i5 - 16gb memory - 512 gb ssd - intel iris xe graphics - windows 11 - platinum  r8p-00001",https://www.newegg.com/microsoft-surface-laptop-5-platinum/p/N82E16834736856?Item=N82E16834736856,200.84255993695703,Intel Core i5,Intel
270,259.99,chuwi,15.6,Intel N-series,8,256,Intel UHD Graphics,1920x1080,0,0,Integrated,Windows 11 Home,Yes,0,0,"chuwi 15.6'' gemibook plus laptop computer, windows 11 laptop 12th gen intel alder lake n100 (up to 3.4ghz), 8gb ram 256gb ssd, 1920x1080 hd display ultra thin laptop, hdmi/wifi6/bt5.2/webcam/38wh",https://www.newegg.com/grey-chuwi-gemibook-plus-home-personal/p/1TS-006G-00058?Item=9SIBFJJJ4R2793,141.21199808219862,Intel Other CPU,Intel
271,649.99,lenovo,15.6,Intel Core i5 8th Gen,16,512,No,1920x1080,0,0,Integrated,Windows 11 Pro,No,0,0,"lenovo thinkpad t590 laptop intel core i5- 8365u 1.6ghz 16 gb ram 512gb ssd 15.6"" fhd windows 11 pro grade a",https://www.newegg.com/black-lenovo-thinkpad-t590-work-business/p/1TS-000E-108X6?Item=1TS-000E-108X6,141.21199808219862,Intel Core i5,No
273,699.99,msi,15.6,AMD Ryzen 5 7000 Series,16,1024,AMD Radeon Graphics,1920x1080,1,0,Integrated,Windows 11 Home,Yes,1,0,"msi modern 15 b7m-224us 15.6"" ultra thin and light laptop amd ryzen 5 7000 series 7530u (2.00ghz) 16gb memory",https://www.newegg.com/classic-black-msi-modern-15-b7m-224us-work-business/p/N82E16834156500?Item=N82E16834156500,141.21199808219862,AMD Ryzen 5,AMD
274,301.99,hp,14.0,Intel Core i5 8th Gen,16,256,Intel UHD Graphics,1920x1080,0,0,Integrated,Windows 11 Pro,Yes,0,0,"hp grade a laptop 14.0"" intel core i5 8th gen 8265u (1.60ghz) 16gb memory 640 g5",https://www.newegg.com/p/N82E16834841575?Item=N82E16834841575,157.3505121487356,Intel Core i5,Intel
275,799.99,microsoft,12.3,Intel Core i5 11th Gen,16,256,Intel Iris Xe,2736x1824,0,1,Integrated,Windows 10 Pro,Yes,1,0,"microsoft surface pro 7+ 1y2-00001 intel core i5 11th gen 1135g7 (2.40ghz) 16 gb lpddr4x memory 256 gb ssd intel iris xe graphics 12.3"" touchscreen 2736 x 1824 2-in-1 laptop windows 10 pro 64-bit",https://www.newegg.com/microsoft-surface-pro-7-1y2-00001-platinum/p/N82E16834736660?Item=N82E16834736660,267.3384360344031,Intel Core i5,Intel
276,1699.0,msi,17.3,Intel Core i7 12th Gen,32,1024,NVIDIA GeForce RTX 3070 Ti Laptop GPU,3840x2160,1,0,Dedicated,Windows 11 Pro,Yes,1,1,"msi gt series titan gt77 12ugs-009 17.3"" 4k / uhd gaming laptop",https://www.newegg.com/core-black-msi-gt-series-titan-gt77-12ugs-009-gaming/p/N82E16834156294R?Item=N82E16834156294R,254.67134914246222,Intel Core i7,NVIDIA
277,999.0,msi,13.3,Intel Core i5 12th Gen,16,512,Intel Iris Xe,1920x1200,1,0,Integrated,Windows 11 Home,Yes,1,1,"msi prestige 13 evo 13.3"" fhd+ ultra thin and light professional laptop intelâ® coreâ„¢ i5-1240p iris xe 16gb lpddr5 512gb nvme ssd win 11 home, a12m-070us(3)",https://www.newegg.com/pure-white-msi-prestige-13evo-a12m-070us-work-business/p/N82E16834156460?Item=N82E16834156460,170.23725351079585,Intel Core i5,Intel
278,1629.99,microsoft,13.0,Microsoft SQ Series,16,256,Adreno 8CX,1920x1080,0,1,Integrated,Windows 11 Pro,Yes,0,0,"microsoft surface pro 9 for business - 13"" pixelsense display - microsoft sq3 processor - 16gb ram - 256gb ssd - windows 11 pro - (wi-fi + 5g) - platinum  rw8-00001(1)",https://www.newegg.com/microsoft-surface-sq3-platinum/p/N82E16834736792?Item=N82E16834736792,169.45439769863833,Other CPU,Other GPU
279,416.99,hp,17.3,AMD Ryzen 5 5000 Series,8,512,AMD Radeon Graphics,1920x1080,0,0,Integrated,Windows 11 Home,Yes,0,0,"hp 17-cp0700dx 17.3"" fhd 1920x1080 ips laptop amd ryzen 5 5500u up to 4.0 ghz 8gb ddr4-3200 512gb pcie nvme m.2 ssd amd radeon graphics windows 11 home",https://www.newegg.com/silver-hp-17-cp0700dx-mainstream/p/1TS-000D-1E505?Item=1TS-000D-1E505,127.33567457123111,AMD Ryzen 5,AMD
280,366.99,asus,17.3,Intel Core i5 11th Gen,8,512,Intel UHD Graphics,1920x1028,0,0,Integrated,Windows 10 Home,Yes,0,0,"asus vivobook k712ea-sb55 17.3"" laptop 1920x1080 i5-1135g7 2.4ghz 8gb 512gb w10",https://www.newegg.com/silver-asus-k712ea-sb55-r-mainstream/p/1TS-001A-05UK1?Item=1TS-001A-05UK1,125.88931865719587,Intel Core i5,Intel
281,1062.99,lenovo,14.0,Intel Core i7 12th Gen,16,512,Intel Iris Xe,1920x1080,0,1,Integrated,Windows 11 Pro,Yes,0,0,"lenovo thinkbook 14 g4 iap 21dh000vus 14"" touchscreen notebook  intel core i7 12th gen i7-1255u deca-core (10 core) 1.70 ghz - 16 gb total ram - 8 gb on-board memory - 512 gb ssd",https://www.newegg.com/p/1XV-0001-027Y6?Item=1XV-0001-027Y6,157.3505121487356,Intel Core i7,Intel
282,803.99,lenovo,16.0,AMD Ryzen 5 7000 Series,16,256,AMD Radeon Graphics,1920x1200,1,0,Integrated,Windows 11 Pro,Yes,0,0,"lenovo notebook thinkpad e16 gen 1 amd ryzen 5 7530u 2.00ghz 16gb memory 256 gb ssd amd radeon graphics 16.0"" windows 11 pro",https://www.newegg.com/graphite-black-lenovo-thinkpad-e14-gen-5/p/N82E16834840337?Item=N82E16834840337,141.50971698084905,AMD Ryzen 5,AMD
